model,circles_mean,circles_std,circles_runs,n_sampled,efficiency,threshold
Pocket2Mol,2186.6666666666665,4.784233364802441,"[2180, 2189, 2191]",160000,13.666666666666666,0.75
MolCRAFT,45398.666666666664,32.262809686834295,"[45434, 45406, 45356]",152534,297.6298180514945,0.75
TamGen,568.3333333333334,4.642796092394706,"[562, 570, 573]",157040,3.6190354898964174,0.75
PocketFlow,17326.666666666668,26.398653164297777,"[17292, 17356, 17332]",158818,109.09762537411798,0.75
PocketXMol,20234.0,74.16647940051264,"[20139, 20243, 20320]",160000,126.4625,0.75
ResGen,7106.333333333333,20.94967514996089,"[7078, 7128, 7113]",120263,59.08993899481414,0.75
