model,n_molecules,mean,median,frac_above_0.2,frac_above_0.3,frac_above_0.5
MolCRAFT,152534,0.26617989483765525,0.25287356321839083,0.8768602409954502,0.2295029304941849,0.010023994650373031
Pocket2Mol,160000,0.2615774882716396,0.24705882352941178,0.8875125,0.1892875,0.00885625
PocketFlow,158818,0.31351281793116487,0.29213483146067415,0.9526439068619426,0.45657922905464116,0.04092735080406503
PocketXMol,160000,0.31603345874960703,0.3018867924528302,0.9800249744994809,0.5087570841128335,0.027636616458469602
ResGen,120263,0.2536174974505617,0.23404255319148937,0.8408654365848183,0.13988508518829565,0.018625845022991278
TamGen,157040,0.5125575242782401,0.48863636363636365,0.9984016811003565,0.8899643402954661,0.4643593988792664
