,MW,logP,Fsp3,N_AliR,N_AroR,N_ChiA,N_HetA,N_RotB,N_BriA
Pocket2Mol,62.47787554666691,0.3917645660894989,0.05369775747119096,0.8341255339803907,0.8135747870534412,0.9358323569374033,2.5658968163180456,2.731763301427425,0.6378818078070327
MolCRAFT,108.28163175594862,1.2009000995392423,0.0191547639432179,0.739607263658837,1.6207007711893373,1.6775464318763103,2.8281068944349066,2.2396955451454046,0.043365562079274
TamGen,144.7314596859361,2.2271604190625056,0.009029766816163154,0.7495132937011237,1.459974946023285,0.6261349522720965,2.39698533599038,1.065543600359071,0.06363620920103874
PocketFlow,192.37358002333502,0.46067333706026004,0.126747175121673,0.8785817928618875,1.0727953755709287,0.19563987797444937,6.351037531370522,2.427686602915266,0.08272858131857042
PocketXMol,135.11784857354982,0.6508860475028556,0.11820746445969989,0.6820470397763715,0.37813169216031417,0.15535518470932286,3.933110610125462,1.8017458807817108,0.15667193503558186
ResGen,89.48795049882148,0.6299417546217884,0.10932515657776097,1.1845729714010989,0.3508905034113223,0.7309306919660908,0.9936576321182458,1.6808661133441423,1.0275228930256453
