,MW,logP,Fsp3,N_AliR,N_AroR,N_ChiA,N_HetA,N_RotB,N_BriA
Pocket2Mol,0.32477368014406294,0.17590316473674003,0.4236603886409534,0.704157155463202,0.5019895106586556,0.5578577970510712,0.4040122269226046,1.0,0.6207957137857291
MolCRAFT,0.5628716362341128,0.5392068255436875,0.15112576611533926,0.624366148405394,1.0,1.0,0.44529840682969724,0.8198717451014511,0.04220398627964357
TamGen,0.7523458245585496,1.0,0.07124235161450253,0.6327286809647601,0.9008294263671479,0.37324448395253895,0.37741633932261187,0.39005707405260687,0.061931670460066805
PocketFlow,1.0,0.20684335673232487,1.0,0.7416865098844113,0.6619330320819599,0.11662263068070738,1.0,0.8886884898287966,0.08051264052615677
PocketXMol,0.7023721685543304,0.2922492883457572,0.932624055299258,0.5757746092835921,0.23331369916164443,0.09260857509354328,0.6192863119920371,0.659554171417504,0.15247537169147196
ResGen,0.46517796512372717,0.2828452540867955,0.8625451137101282,1.0,0.21650542138868997,0.435714134689289,0.1564559534107838,0.6153044491321196,1.0
